MONTEVIDEO,MONTEVIDEO
TACUAREMBÓ,SAUCE DE BATOVI
TACUAREMBÓ,PUNTAS DE CINCO SAUCES
TACUAREMBÓ,RINCON DE PEREIRA
TACUAREMBÓ,PUNTA DE CARRETERA
TACUAREMBÓ,CRUZ DE LOS CAMINOS
TREINTA Y TRES,TREINTA Y TRES
TREINTA Y TRES,SANTA CLARA DE OLIMAR
TREINTA Y TRES,VERGARA
TREINTA Y TRES,ARROZAL TREINTA Y TRES
TREINTA Y TRES,GRAL. ENRIQUE MARTINEZ
TREINTA Y TRES,VILLA SARA
TREINTA Y TRES,CERRO CHATO
TREINTA Y TRES,ESTACION RINCON
TREINTA Y TRES,ISLA PATRULLA (MARIA ISABEL)
TREINTA Y TRES,VALENTINES
TREINTA Y TRES,POBLADO ALONZO
TREINTA Y TRES,ARROCERA RINCON
TREINTA Y TRES,ARROCERA LOS CEIBOS
TREINTA Y TRES,MARIA ALBINA
TREINTA Y TRES,MENDIZABAL (EL ORO)
TREINTA Y TRES,PUNTAS DEL PARAO
TREINTA Y TRES,VILLA PASSANO
TREINTA Y TRES,EJIDO DE TREINTA Y TRES
TREINTA Y TRES,EL BELLACO
TREINTA Y TRES,ARROCERA LOS TEROS
TREINTA Y TRES,ARROCERA BONOMO
TREINTA Y TRES,ARROCERA EL TIGRE
TREINTA Y TRES,ARROCERA LA CATUMBERA
TREINTA Y TRES,ARROCERA LA QUERENCIA
TREINTA Y TRES,ARROCERA LAS PALMAS
TREINTA Y TRES,ARROCERA MINI
TREINTA Y TRES,ARROCERA PROCIPA
TREINTA Y TRES,ARROCERA SAN FERNANDO
TREINTA Y TRES,ARROCERA SANTA FE
TREINTA Y TRES,ARROCERA ZAPATA
